FID;X;Y;BHE_ID
0;-9.524342851820000;-4.507487980040000;56
1;-9.526581682950001;-1.507488815430000;55
2;-9.528820514090000;1.492510349170000;54
3;-9.531059345230000;4.492509513780000;66
4;-6.925147948370000;-6.005548677700000;45
5;-6.927386779500000;-3.005549513100000;44
6;-6.929625610640000;-0.005550348490850;43
7;-6.931864441780000;2.994448816110000;53
8;-6.934103272920000;5.994447980720000;65
9;-4.325953044920000;-7.503609375360000;46
10;-4.328191876050000;-4.503610210760000;33
11;-4.330430707190000;-1.503611046150000;32
12;-4.332669538330000;1.496388118450000;42
13;-4.334908369470000;4.496387283060000;52
14;-4.337147200610000;7.496386447660000;64
15;-1.726758141470000;-9.001670073030001;35
16;-1.728996972600000;-6.001670908420000;34
17;-1.731235803740000;-3.001671743820000;31
18;-1.733474634880000;-0.001672579209270;41
19;-1.735713466020000;2.998326585400000;51
20;-1.737952297160000;5.998325750000000;63
21;-1.740191128300000;8.998324914610000;76
22;0.872436761984000;-10.499730770699999;36
23;0.870197930845000;-7.499731606080000;23
24;0.867959099707000;-4.499732441480000;22
25;0.865720268568000;-1.499733276870000;21
26;0.863481437430000;1.500265887730000;61
27;0.861242606291000;4.500265052340000;62
28;0.859003775152000;7.500264216950000;73
29;0.856764944014000;10.500263381600000;75
30;3.469392834300000;-8.997792303740001;24
31;3.467154003160000;-5.997793139140000;12
32;3.464915172020000;-2.997793974530000;11
33;3.462676340880000;0.002205190072290;81
34;3.460437509740000;3.002204354680000;71
35;3.458198678600000;6.002203519280000;72
36;3.455959847460000;9.002202683889999;74
37;6.066348906610000;-7.495853836800000;25
38;6.064110075470000;-4.495854672200000;13
39;6.061871244330000;-1.495855507590000;82
40;6.059632413190000;1.504143657020000;83
41;6.057393582050000;4.504142821620000;84
42;6.055154750910000;7.504141986230000;86
43;8.663304978919999;-5.993915369860000;26
44;8.661066147780000;-2.993916205250000;14
45;8.658827316640000;0.006082959353860;15
46;8.656588485500000;3.006082123960000;16
47;8.654349654360001;6.006081288570000;85
